well_id,typewell_name,horizontal_avg_X,horizontal_avg_Y,typewell_avg_X,typewell_avg_Y,typewell_well_count,typewell_row_count
0955cd6c,Typewell20036,3026945.632580,1118651.004262,3021487.429743,1112557.744141,22,144332
09ec2ca9,Typewell20007,3004680.137394,1126312.626844,3006353.321961,1131810.626156,28,186785
0a57a29c,Typewell20016,2901704.492577,1033301.949333,2905294.439869,1032450.916284,57,395136
0bbf5e67,Typewell20057,2899323.428828,1034462.252744,2899323.428828,1034462.252744,1,6031
0be01c24,Typewell20011,3006846.656772,1114039.838114,3003684.451568,1115603.541131,53,363855
0c1b160c,Typewell20006,2972607.062399,1092683.547589,2975489.377781,1098774.361029,15,101376
0d99f8e4,Typewell20016,2895947.984626,1034157.662901,2905294.439869,1032450.916284,57,395136
0dc5e64d,Typewell20007,3012992.515240,1122126.427824,3006353.321961,1131810.626156,28,186785
0dc835f3,Typewell20002,2994038.757793,1124446.021006,2993254.581653,1119522.756102,28,184806
0dd99dc5,Typewell20001,3006856.662319,1077639.300588,3005291.363312,1074493.145580,27,206662
0e5e560d,Typewell20007,3010115.590588,1130311.616164,3006353.321961,1131810.626156,28,186785
109d9d70,Typewell20036,3020316.993724,1106786.647065,3021487.429743,1112557.744141,22,144332
10a1281a,Typewell20016,2902232.587077,1029344.600953,2905294.439869,1032450.916284,57,395136
10b89021,Typewell20020,2983890.118406,1058724.720858,2985418.744890,1058928.486172,10,68790
10be2420,Typewell20013,2953515.613039,1085603.322303,2955104.316351,1086839.743342,13,71115
113011eb,Typewell20001,3003471.311846,1071203.032609,3005291.363312,1074493.145580,27,206662
1131525f,Typewell20028,2903190.564764,1024459.934135,2902948.903430,1024362.231738,7,38675
11d0f5ac,Typewell20033,2889666.290892,1030650.342114,2894393.423226,1028335.426845,11,77197
12203f2a,Typewell20022,3014401.836049,1115973.496852,3017268.148636,1117616.352285,19,111303
122bd617,Typewell20013,2957617.787125,1088325.720715,2955104.316351,1086839.743342,13,71115
125be846,Typewell20023,2981425.854806,1106401.886421,2985782.766520,1100575.026316,25,167761
1285a37b,Typewell20029,3014735.906858,1083240.458525,3019267.379436,1083482.716316,13,90193
1295a25b,Typewell20030,2973584.803143,1064776.814809,2973475.745049,1065223.588720,14,87719
12f0cd90,Typewell20011,2999509.637652,1112597.274014,3003684.451568,1115603.541131,53,363855
137d1e44,Typewell20029,3017250.403532,1084022.468704,3019267.379436,1083482.716316,13,90193
13ce113d,Typewell20021,2896468.473791,1041995.269936,2908417.581539,1038379.834989,14,80236
13f598d9,Typewell20001,3006550.863431,1077549.147694,3005291.363312,1074493.145580,27,206662
14a53cb3,Typewell20025,2911612.448997,1040038.270982,2915250.787253,1043721.747544,31,184225
14ab73fb,Typewell20028,2904091.089481,1019013.800403,2902948.903430,1024362.231738,7,38675
14ad5efb,Typewell20011,2998214.602671,1112066.678410,3003684.451568,1115603.541131,53,363855
14fee784,Typewell20002,2991163.951533,1124343.444366,2993254.581653,1119522.756102,28,184806
153552f5,Typewell20017,3002134.753007,1092314.297822,3006562.644914,1089459.693544,41,245452
1550491d,Typewell20011,3005778.162808,1113486.973262,3003684.451568,1115603.541131,53,363855
155887bb,Typewell20017,3008022.716807,1086038.541417,3006562.644914,1089459.693544,41,245452
1590af81,Typewell20027,2990197.728916,1092270.693575,2987980.408279,1087094.536237,20,128305
15e154a1,Typewell20039,2960191.610344,1078435.639787,2957792.900858,1077591.088056,15,109938
1619e2ca,Typewell20027,2995455.502086,1094422.852398,2987980.408279,1087094.536237,20,128305
16e4a047,Typewell20008,3011951.533121,1102242.247319,3010424.938657,1104194.850397,38,229621
173ed841,Typewell20029,3022087.833752,1084666.290930,3019267.379436,1083482.716316,13,90193
1770d7c6,Typewell20001,3009290.318069,1078705.501059,3005291.363312,1074493.145580,27,206662
177622d7,Typewell20017,3007506.455116,1088942.552183,3006562.644914,1089459.693544,41,245452
18d24f7b,Typewell20016,2905270.930190,1039305.455965,2905294.439869,1032450.916284,57,395136
19137a89,Typewell20007,3003927.329037,1132792.779107,3006353.321961,1131810.626156,28,186785
1944513c,Typewell20011,3005563.694767,1113191.886093,3003684.451568,1115603.541131,53,363855
197f8a5a,Typewell20009,2880373.065516,1022700.727984,2886469.143340,1022809.123041,31,232429
19871e7f,Typewell20001,3000000.785734,1074150.161356,3005291.363312,1074493.145580,27,206662
198a5607,Typewell20006,2969843.726441,1098013.941728,2975489.377781,1098774.361029,15,101376
19fb4f7b,Typewell20029,3015034.185773,1083290.332096,3019267.379436,1083482.716316,13,90193
1a518997,Typewell20021,2909603.561713,1037333.623350,2908417.581539,1038379.834989,14,80236
1a68190b,Typewell20026,2948720.071200,1012420.922250,2947090.556205,1014394.728913,17,108151
1a730ac2,Typewell20023,2990360.101207,1092565.151790,2985782.766520,1100575.026316,25,167761
1aaf1da0,Typewell20014,3005745.866230,1107687.239628,3002049.147178,1103524.470839,30,191790
1b08ed48,Typewell20024,2987073.204891,1068424.659657,2989673.251036,1068595.193731,11,86897
1b1c5372,Typewell20004,2999852.589401,1125301.599154,2998428.425994,1126804.213960,13,75222
1b1eba53,Typewell20015,3035441.773514,1096568.550516,3034920.554718,1093812.498557,7,45634
1b6ba517,Typewell20031,2923929.529462,1020159.073753,2920346.807433,1018317.196527,22,139972
1b82b665,Typewell20004,3000450.562308,1125360.136510,2998428.425994,1126804.213960,13,75222
1bcb2fcf,Typewell20019,3013901.892736,1096651.085708,3020561.394197,1094502.077889,13,83849
1beca81d,Typewell20034,2977682.760820,1088702.216929,2979626.652099,1086679.330275,3,21362
1d3fbf02,Typewell20030,2965365.162415,1063462.401886,2973475.745049,1065223.588720,14,87719
1d78281a,Typewell20026,2949031.638787,1012531.297722,2947090.556205,1014394.728913,17,108151
1e30dedf,Typewell20004,2995568.970473,1129474.233621,2998428.425994,1126804.213960,13,75222
1e5e3573,Typewell20036,3026624.125267,1118637.700448,3021487.429743,1112557.744141,22,144332
1f9afacb,Typewell20008,3007377.722841,1101107.673289,3010424.938657,1104194.850397,38,229621
1fdbba44,Typewell20026,2948611.656267,1017875.423794,2947090.556205,1014394.728913,17,108151
1fee2b62,Typewell20001,2996940.496826,1072849.590395,3005291.363312,1074493.145580,27,206662
20096916,Typewell20014,3000687.994504,1098513.544936,3002049.147178,1103524.470839,30,191790
200d233d,Typewell20008,3009852.113189,1102931.794635,3010424.938657,1104194.850397,38,229621
201661b5,Typewell20036,3026635.021826,1110768.017230,3021487.429743,1112557.744141,22,144332
203721ab,Typewell20016,2901356.268305,1022820.307254,2905294.439869,1032450.916284,57,395136
20402d71,Typewell20009,2883107.001822,1023732.091006,2886469.143340,1022809.123041,31,232429
2043abc5,Typewell20023,2982620.145895,1107196.519484,2985782.766520,1100575.026316,25,167761
204cc64b,Typewell20029,3021916.765062,1084607.535048,3019267.379436,1083482.716316,13,90193
206b6193,Typewell20023,2979176.583030,1095738.520627,2985782.766520,1100575.026316,25,167761
2075c696,Typewell20016,2901209.846366,1038745.430367,2905294.439869,1032450.916284,57,395136
22c5f93f,Typewell20014,3000351.168795,1098369.117277,3002049.147178,1103524.470839,30,191790
230eaaa3,Typewell20023,2982548.275012,1098631.285408,2985782.766520,1100575.026316,25,167761
2364716c,Typewell20039,2954231.816420,1073725.503542,2957792.900858,1077591.088056,15,109938
23b9beb0,Typewell20027,2985610.182714,1082175.624428,2987980.408279,1087094.536237,20,128305
24d8997e,Typewell20025,2917384.756316,1047788.829663,2915250.787253,1043721.747544,31,184225
25050f63,Typewell20009,2886909.117624,1027602.074588,2886469.143340,1022809.123041,31,232429
25939962,Typewell20017,3012444.803520,1096122.844828,3006562.644914,1089459.693544,41,245452
25fd32b3,Typewell20025,2918272.730790,1043377.684212,2915250.787253,1043721.747544,31,184225
261785ee,Typewell20027,2988229.815290,1091047.028342,2987980.408279,1087094.536237,20,128305
264feceb,Typewell20016,2901739.820436,1028902.562758,2905294.439869,1032450.916284,57,395136
26623a50,Typewell20011,3001128.915183,1112818.771149,3003684.451568,1115603.541131,53,363855
26d3a96a,Typewell20029,3021515.605142,1084448.290042,3019267.379436,1083482.716316,13,90193
272abef3,Typewell20023,2993831.605442,1093646.923377,2985782.766520,1100575.026316,25,167761
27300fd5,Typewell20029,3014614.976660,1083368.499293,3019267.379436,1083482.716316,13,90193
276b012a,Typewell20001,3010481.389518,1071647.194732,3005291.363312,1074493.145580,27,206662
27c3155b,Typewell20037,3035476.068505,1093283.938546,3035895.739981,1093476.698300,7,49180
27ebb9b9,Typewell20031,2921837.850736,1018664.530142,2920346.807433,1018317.196527,22,139972
283269ac,Typewell20023,2979593.608675,1098653.282678,2985782.766520,1100575.026316,25,167761
28473855,Typewell20039,2962700.579295,1079327.929045,2957792.900858,1077591.088056,15,109938
28f4eda9,Typewell20009,2885980.616908,1027001.796272,2886469.143340,1022809.123041,31,232429
29b24409,Typewell20016,2905473.101381,1036963.293290,2905294.439869,1032450.916284,57,395136
29de15c8,Typewell20022,3012327.936727,1117547.859169,3017268.148636,1117616.352285,19,111303
2ab29395,Typewell20017,2999643.796538,1088124.555925,3006562.644914,1089459.693544,41,245452
2ac7cb6b,Typewell20002,2993037.665695,1124468.008276,2993254.581653,1119522.756102,28,184806
2acc78d4,Typewell20014,3008531.008866,1108321.657946,3002049.147178,1103524.470839,30,191790
2b034622,Typewell20012,2858246.882572,1043188.919740,2866832.676786,1044931.082987,8,61539
2b06ad65,Typewell20022,3011752.749763,1118043.801223,3017268.148636,1117616.352285,19,111303
2b547943,Typewell20017,3000556.071809,1087992.638000,3006562.644914,1089459.693544,41,245452
2be5c96a,Typewell20014,2998590.518582,1092538.099166,3002049.147178,1103524.470839,30,191790
2bff06cf,Typewell20003,2922762.200692,1058812.867194,2924743.617104,1053867.180906,26,157615
2c0c4a4e,Typewell20039,2958949.287532,1077239.141145,2957792.900858,1077591.088056,15,109938
2cee0cba,Typewell20054,2896259.429790,1034307.136695,2896259.429790,1034307.136695,1,7335
2d0c268a,Typewell20011,3002735.746499,1119228.198349,3003684.451568,1115603.541131,53,363855
2d179ded,Typewell20005,2868460.822047,1028125.938944,2870539.046193,1028998.625882,7,71587
2d196986,Typewell20025,2911992.692682,1040130.098321,2915250.787253,1043721.747544,31,184225
2d2d0c6b,Typewell20025,2921054.297027,1044353.318549,2915250.787253,1043721.747544,31,184225
2d35f86d,Typewell20014,3000407.748600,1105181.359937,3002049.147178,1103524.470839,30,191790
2d9f6cb9,Typewell20001,3008461.963047,1078573.054434,3005291.363312,1074493.145580,27,206662
2ddad940,Typewell20030,2973293.080129,1063741.252400,2973475.745049,1065223.588720,14,87719
2e29e833,Typewell20036,3023285.544857,1111293.630594,3021487.429743,1112557.744141,22,144332
2e43c2ea,Typewell20025,2914930.690698,1045948.501225,2915250.787253,1043721.747544,31,184225
2e63d9de,Typewell20019,3023743.077600,1095297.224008,3020561.394197,1094502.077889,13,83849
2ee0235b,Typewell20016,2901544.531931,1028566.708447,2905294.439869,1032450.916284,57,395136
2f19d536,Typewell20017,3002539.563858,1077349.394511,3006562.644914,1089459.693544,41,245452
2f8e53c3,Typewell20008,3011860.602940,1108785.032081,3010424.938657,1104194.850397,38,229621
2fa01aa6,Typewell20018,3022973.572627,1086983.150275,3023624.019936,1087996.206189,8,49864
2fd68f7b,Typewell20004,2998302.474382,1125308.429716,2998428.425994,1126804.213960,13,75222
2fe023be,Typewell20027,2989146.017769,1091540.887205,2987980.408279,1087094.536237,20,128305
30d75030,Typewell20002,2991865.208443,1116116.058455,2993254.581653,1119522.756102,28,184806
310c71a5,Typewell20016,2905287.465266,1034457.533001,2905294.439869,1032450.916284,57,395136
32fe84c9,Typewell20024,2984629.291967,1069258.693039,2989673.251036,1068595.193731,11,86897
33c40295,Typewell20027,2987233.945116,1088227.135422,2987980.408279,1087094.536237,20,128305
3407f5bf,Typewell20003,2929962.800618,1053861.803492,2924743.617104,1053867.180906,26,157615
3417285d,Typewell20020,2983667.747056,1058575.618302,2985418.744890,1058928.486172,10,68790
347242c8,Typewell20022,3014940.021374,1117485.090020,3017268.148636,1117616.352285,19,111303
353e5502,Typewell20059,2920374.337710,1049542.156023,2920374.337710,1049542.156023,1,7901
357c12f9,Typewell20010,2939483.941404,1066137.261333,2941069.445195,1067303.163956,19,106438
3584a6eb,Typewell20017,3010135.413701,1095112.062979,3006562.644914,1089459.693544,41,245452
35b30c7f,Typewell20039,2953274.858122,1075871.902711,2957792.900858,1077591.088056,15,109938
35b3ef6a,Typewell20010,2936901.639920,1071294.106602,2941069.445195,1067303.163956,19,106438
367456ce,Typewell20002,2996038.545808,1118744.980339,2993254.581653,1119522.756102,28,184806
368131f9,Typewell20014,2998248.610294,1104321.307026,3002049.147178,1103524.470839,30,191790
368fe682,Typewell20028,2900633.338535,1028569.256152,2902948.903430,1024362.231738,7,38675
3690a146,Typewell20021,2911334.999413,1038537.770642,2908417.581539,1038379.834989,14,80236
37344c2a,Typewell20003,2919964.717635,1042923.475917,2924743.617104,1053867.180906,26,157615
373ef48b,Typewell20016,2905745.232135,1025769.663654,2905294.439869,1032450.916284,57,395136
374be387,Typewell20005,2872825.346800,1029882.695248,2870539.046193,1028998.625882,7,71587
37d36812,Typewell20017,3008614.649229,1094709.342468,3006562.644914,1089459.693544,41,245452
38991fd4,Typewell20040,2933868.822802,1057288.103777,2937137.480356,1058997.952826,16,102608
389ae58f,Typewell20030,2973135.336276,1068828.173185,2973475.745049,1065223.588720,14,87719
3932faa6,Typewell20031,2920902.802034,1018283.987263,2920346.807433,1018317.196527,22,139972
398dce4b,Typewell20013,2952955.215918,1085111.261113,2955104.316351,1086839.743342,13,71115
39b51819,Typewell20003,2920706.610028,1050937.214207,2924743.617104,1053867.180906,26,157615
3a0af893,Typewell20036,3021019.081264,1107076.963308,3021487.429743,1112557.744141,22,144332
3a223519,Typewell20026,2945581.809707,1012433.681471,2947090.556205,1014394.728913,17,108151
3a7dd95d,Typewell20051,2916177.927019,1032055.024326,2916177.927019,1032055.024326,1,4320
3a824aa7,Typewell20017,3011532.924466,1095947.131722,3006562.644914,1089459.693544,41,245452
3a86fe8d,Typewell20023,2989676.835323,1098642.242398,2985782.766520,1100575.026316,25,167761
3aaa2b30,Typewell20002,2992126.065403,1117277.115971,2993254.581653,1119522.756102,28,184806
3ac16ad0,Typewell20009,2890764.407739,1022164.759321,2886469.143340,1022809.123041,31,232429
3b21ea64,Typewell20001,3008940.097660,1078520.452361,3005291.363312,1074493.145580,27,206662
3bbe1f5d,Typewell20016,2906216.923074,1028439.425617,2905294.439869,1032450.916284,57,395136
3bfee975,Typewell20017,3001190.419774,1088257.307535,3006562.644914,1089459.693544,41,245452
3c3dbcbc,Typewell20014,3001031.131883,1098625.199039,3002049.147178,1103524.470839,30,191790
3d96d897,Typewell20016,2908016.465476,1029573.008227,2905294.439869,1032450.916284,57,395136
3df4b19e,Typewell20011,3006087.472908,1119302.615225,3003684.451568,1115603.541131,53,363855
3e011332,Typewell20027,2985773.590363,1087021.447683,2987980.408279,1087094.536237,20,128305
3e678ea7,Typewell20019,3017735.166681,1091504.780750,3020561.394197,1094502.077889,13,83849
3ef6372a,Typewell20023,2982909.445636,1098979.261238,2985782.766520,1100575.026316,25,167761
3ef98781,Typewell20022,3012114.335089,1117773.832751,3017268.148636,1117616.352285,19,111303
3f603129,Typewell20007,3005488.675871,1133248.630533,3006353.321961,1131810.626156,28,186785
404c4384,Typewell20013,2955914.199372,1086109.999897,2955104.316351,1086839.743342,13,71115
4121c517,Typewell20007,3007811.432033,1131026.347490,3006353.321961,1131810.626156,28,186785
41fb0192,Typewell20001,3007297.727852,1075798.250100,3005291.363312,1074493.145580,27,206662
42669188,Typewell20030,2969923.645197,1062658.430760,2973475.745049,1065223.588720,14,87719
42c538a1,Typewell20047,2909031.161420,1022236.826247,2909031.161420,1022236.826247,1,4762
43b06c70,Typewell20014,3005416.243572,1107488.935633,3002049.147178,1103524.470839,30,191790
43c7f85a,Typewell20009,2888077.628255,1019340.633016,2886469.143340,1022809.123041,31,232429
43e16325,Typewell20003,2928982.161076,1048846.760874,2924743.617104,1053867.180906,26,157615
44441e54,Typewell20008,3011799.442107,1107946.204136,3010424.938657,1104194.850397,38,229621
445af6c2,Typewell20016,2909559.673427,1035237.522837,2905294.439869,1032450.916284,57,395136
4463446c,Typewell20055,2946442.072757,1072618.905314,2945989.856898,1075896.153719,2,9449
44a94013,Typewell20033,2888836.476369,1029842.747315,2894393.423226,1028335.426845,11,77197
45fb3e21,Typewell20027,2990720.601637,1092300.506130,2987980.408279,1087094.536237,20,128305
460f859e,Typewell20025,2914405.889845,1040433.872405,2915250.787253,1043721.747544,31,184225
4630ab92,Typewell20008,3013720.554402,1102326.274498,3010424.938657,1104194.850397,38,229621
463c38f2,Typewell20040,2935154.416906,1058622.511652,2937137.480356,1058997.952826,16,102608
4654e7de,Typewell20016,2909077.020813,1030556.554524,2905294.439869,1032450.916284,57,395136
466fc788,Typewell20008,3009768.228988,1101601.441951,3010424.938657,1104194.850397,38,229621
46a301e9,Typewell20006,2973989.753356,1095818.301496,2975489.377781,1098774.361029,15,101376
46a7190b,Typewell20019,3025379.939780,1097645.228624,3020561.394197,1094502.077889,13,83849
46d24a09,Typewell20026,2948927.847816,1017965.589587,2947090.556205,1014394.728913,17,108151
46d41ff6,Typewell20024,2991906.909318,1067430.080648,2989673.251036,1068595.193731,11,86897
46dfcfca,Typewell20019,3025010.094928,1097849.257921,3020561.394197,1094502.077889,13,83849
47222616,Typewell20017,3009758.530948,1095105.480166,3006562.644914,1089459.693544,41,245452
47ee27ab,Typewell20023,2981102.698227,1105972.699855,2985782.766520,1100575.026316,25,167761
481de5fc,Typewell20031,2922920.846956,1018804.971493,2920346.807433,1018317.196527,22,139972
48c1f673,Typewell20004,2997491.433868,1129523.137853,2998428.425994,1126804.213960,13,75222
4936af16,Typewell20002,2990958.969313,1117741.644573,2993254.581653,1119522.756102,28,184806
493b5b31,Typewell20037,3035360.486517,1093134.187481,3035895.739981,1093476.698300,7,49180
49dbc14c,Typewell20025,2911723.612709,1045001.118211,2915250.787253,1043721.747544,31,184225
4a035ec2,Typewell20001,3006866.741471,1075714.812368,3005291.363312,1074493.145580,27,206662
4a335117,Typewell20025,2914575.452248,1046825.081683,2915250.787253,1043721.747544,31,184225
4a8ecc0b,Typewell20014,3005331.272075,1100626.352387,3002049.147178,1103524.470839,30,191790
4b462989,Typewell20003,2927514.727642,1057328.296798,2924743.617104,1053867.180906,26,157615
4b831d20,Typewell20001,3009595.065502,1078658.473125,3005291.363312,1074493.145580,27,206662
4c2208f5,Typewell20015,3034678.559855,1091212.774880,3034920.554718,1093812.498557,7,45634
4c3168cf,Typewell20022,3011570.334838,1118140.829674,3017268.148636,1117616.352285,19,111303
4c3df468,Typewell20009,2885166.412883,1017497.582321,2886469.143340,1022809.123041,31,232429
4caa7289,Typewell20016,2902080.154759,1033387.544574,2905294.439869,1032450.916284,57,395136
4cd1ac61,Typewell20014,3004747.357915,1107038.540736,3002049.147178,1103524.470839,30,191790
4cecf7b3,Typewell20008,3009360.797193,1101646.057832,3010424.938657,1104194.850397,38,229621
4ddde4c1,Typewell20007,3006924.223954,1131803.226635,3006353.321961,1131810.626156,28,186785
4e050c92,Typewell20008,3012363.095210,1107755.218113,3010424.938657,1104194.850397,38,229621
4ed93db6,Typewell20011,3007421.959113,1119359.851421,3003684.451568,1115603.541131,53,363855
4f3eb9e9,Typewell20011,3005380.700536,1119703.891874,3003684.451568,1115603.541131,53,363855
4f4ac5ce,Typewell20046,2897499.044393,1026801.999552,2897499.044393,1026801.999552,1,6899
4f4afcc6,Typewell20016,2907263.512827,1028841.181794,2905294.439869,1032450.916284,57,395136
4f69febf,Typewell20009,2886648.705264,1027138.875385,2886469.143340,1022809.123041,31,232429
4fbe9c06,Typewell20016,2909753.291618,1035529.676008,2905294.439869,1032450.916284,57,395136
504c8b08,Typewell20025,2912654.622790,1040380.850227,2915250.787253,1043721.747544,31,184225
511e1db0,Typewell20040,2938557.714384,1061432.479102,2937137.480356,1058997.952826,16,102608
512943b2,Typewell20011,3004608.347349,1114259.505492,3003684.451568,1115603.541131,53,363855
5138a660,Typewell20008,3013042.871081,1107560.799308,3010424.938657,1104194.850397,38,229621
516088b7,Typewell20023,2981679.850788,1106636.684731,2985782.766520,1100575.026316,25,167761
521a7819,Typewell20016,2905654.814862,1039938.950483,2905294.439869,1032450.916284,57,395136
5254b6db,Typewell20031,2920525.351871,1015007.427415,2920346.807433,1018317.196527,22,139972
529e88ca,Typewell20007,3003524.648172,1137729.937698,3006353.321961,1131810.626156,28,186785
52f1e77a,Typewell20022,3023023.189708,1118274.353347,3017268.148636,1117616.352285,19,111303
5305524b,Typewell20033,2888398.107565,1029477.641366,2894393.423226,1028335.426845,11,77197
53134831,Typewell20036,3025715.727357,1118698.015262,3021487.429743,1112557.744141,22,144332
5397ceb1,Typewell20027,2991625.253553,1086694.219978,2987980.408279,1087094.536237,20,128305
53f23031,Typewell20027,2985847.321367,1081724.233657,2987980.408279,1087094.536237,20,128305
543198e8,Typewell20003,2921800.245187,1058586.845257,2924743.617104,1053867.180906,26,157615
54753541,Typewell20010,2945053.377070,1063992.638276,2941069.445195,1067303.163956,19,106438
54a7e3c2,Typewell20006,2970081.050666,1098330.617704,2975489.377781,1098774.361029,15,101376
5542c301,Typewell20003,2927776.480872,1057585.493020,2924743.617104,1053867.180906,26,157615
5567d551,Typewell20023,2989164.940894,1104934.898603,2985782.766520,1100575.026316,25,167761
55efee7f,Typewell20040,2935610.290836,1058771.964771,2937137.480356,1058997.952826,16,102608
5663b2b7,Typewell20031,2921874.761675,1018306.629185,2920346.807433,1018317.196527,22,139972
5693dde2,Typewell20036,3020865.117033,1112263.135120,3021487.429743,1112557.744141,22,144332
56b00794,Typewell20003,2920055.976283,1043294.645471,2924743.617104,1053867.180906,26,157615
57796579,Typewell20040,2937573.229206,1061205.164982,2937137.480356,1058997.952826,16,102608
577eec7c,Typewell20012,2862840.800202,1040565.166792,2866832.676786,1044931.082987,8,61539
57f05c51,Typewell20037,3035618.683770,1093397.070793,3035895.739981,1093476.698300,7,49180
58850d2c,Typewell20019,3026360.774936,1096197.168703,3020561.394197,1094502.077889,13,83849
58fa8486,Typewell20031,2920700.315478,1015942.015147,2920346.807433,1018317.196527,22,139972
591cc951,Typewell20040,2936314.079645,1059323.741339,2937137.480356,1058997.952826,16,102608
593876b6,Typewell20011,3006654.010206,1114035.015090,3003684.451568,1115603.541131,53,363855
59f8b2e8,Typewell20043,2901782.828426,1010784.101295,2901950.849079,1011123.229373,2,10973
5a1a8fd8,Typewell20008,3001701.365518,1099421.387157,3010424.938657,1104194.850397,38,229621
5a5269a9,Typewell20011,2994795.522122,1111162.078115,3003684.451568,1115603.541131,53,363855
5a5d1982,Typewell20016,2908901.534919,1032827.461107,2905294.439869,1032450.916284,57,395136
5a63b5d1,Typewell20041,2886210.889844,1010729.267937,2887360.468281,1010724.643788,6,47332
5aa03df7,Typewell20034,2978825.286243,1089082.576289,2979626.652099,1086679.330275,3,21362
5aa403d0,Typewell20003,2926943.507478,1056853.916478,2924743.617104,1053867.180906,26,157615
5aef5c6c,Typewell20048,2968974.519648,1072911.751269,2968974.519648,1072911.751269,1,4853
5b7b6324,Typewell20001,2994729.478146,1067375.702318,3005291.363312,1074493.145580,27,206662
5bd25f59,Typewell20004,2997058.036546,1129285.799722,2998428.425994,1126804.213960,13,75222
5beded95,Typewell20023,2984115.517391,1101210.423551,2985782.766520,1100575.026316,25,167761
5cb483ac,Typewell20008,3012004.765086,1107753.446590,3010424.938657,1104194.850397,38,229621
5cdd8dbc,Typewell20025,2912025.978242,1043467.664735,2915250.787253,1043721.747544,31,184225
5d11dfb5,Typewell20035,2981092.410113,1055520.648911,2981304.800378,1055570.866980,6,46789
5d7198fd,Typewell20036,3019135.862366,1107182.258343,3021487.429743,1112557.744141,22,144332
5def1ce5,Typewell20016,2908632.716072,1034301.182105,2905294.439869,1032450.916284,57,395136
5eae34a8,Typewell20045,2898580.514704,1034267.913901,2898580.514704,1034267.913901,1,6652
5f4d2a52,Typewell20002,2998063.636031,1118515.374335,2993254.581653,1119522.756102,28,184806
5f6756c5,Typewell20036,3015838.484129,1108118.363343,3021487.429743,1112557.744141,22,144332
5f75f796,Typewell20029,3016593.413721,1084280.560591,3019267.379436,1083482.716316,13,90193
5fb1c15f,Typewell20003,2928561.639312,1057868.598258,2924743.617104,1053867.180906,26,157615
5fffa282,Typewell20023,2989428.822256,1098414.578698,2985782.766520,1100575.026316,25,167761
60e37807,Typewell20027,2986100.333030,1087189.200026,2987980.408279,1087094.536237,20,128305
61f27424,Typewell20035,2980062.130774,1055263.626841,2981304.800378,1055570.866980,6,46789
62569ae3,Typewell20022,3022222.831629,1116996.446902,3017268.148636,1117616.352285,19,111303
62a6f539,Typewell20025,2917077.197510,1047579.567619,2915250.787253,1043721.747544,31,184225
633774dc,Typewell20006,2969507.021004,1097801.588176,2975489.377781,1098774.361029,15,101376
63559d57,Typewell20036,3014671.900954,1111729.174317,3021487.429743,1112557.744141,22,144332
647f2a41,Typewell20014,2999137.262258,1092837.262010,3002049.147178,1103524.470839,30,191790
65156b96,Typewell20003,2925998.579594,1056809.115125,2924743.617104,1053867.180906,26,157615
653612bc,Typewell20022,3025054.604179,1118499.062745,3017268.148636,1117616.352285,19,111303
